Path (w/ version number), Path,  Groups,  Type,  Total Count,  Total Rate (Hz),  Pure Count,  Pure Rate (Hz)
HLT_HIPuAK4CaloJet60Eta5p1_v7, HLT_HIPuAK4CaloJet60Eta5p1_v,  ,  , 1, 3.6, 0, 0.0
HLT_HICsAK4PFJet60Eta2p1_v1, HLT_HICsAK4PFJet60Eta2p1_v,  ,  , 1, 3.6, 0, 0.0
HLT_HIEle30Gsf_v7, HLT_HIEle30Gsf_v,  ,  , 1, 3.6, 0, 0.0
HLT_HIUPC_DoubleEG5_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v7, HLT_HIUPC_DoubleEG5_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v,  ,  , 1, 3.6, 0, 0.0
HLT_HIL1DoubleMu0_MaxDr3p5_Open_v1, HLT_HIL1DoubleMu0_MaxDr3p5_Open_v,  ,  , 1, 3.6, 0, 0.0
HLT_HIL2SingleMu3_Open_v1, HLT_HIL2SingleMu3_Open_v,  ,  , 1, 3.6, 0, 0.0
HLT_HIL3SingleMu3_Open_v1, HLT_HIL3SingleMu3_Open_v,  ,  , 1, 3.6, 0, 0.0
HLT_HIL3SingleMu3_SinglePuAK4CaloJet80_v1, HLT_HIL3SingleMu3_SinglePuAK4CaloJet80_v,  ,  , 1, 3.6, 0, 0.0
HLT_HIL3SingleMu5_SinglePuAK4CaloJet60_v1, HLT_HIL3SingleMu5_SinglePuAK4CaloJet60_v,  ,  , 1, 3.6, 0, 0.0
HLT_HIL1SingleMu7_SingleEG20Gsf_v1, HLT_HIL1SingleMu7_SingleEG20Gsf_v,  ,  , 1, 3.6, 0, 0.0
Dataset_HIEventDisplay, Dataset_HIEventDisplay,  ,  , 1, 3.6, 0, 0.0
Status_OnGPU, Status_OnGPU,  ,  , 0, 0.0, 0, 0.0
DQM_HIPixelReconstruction_v6, DQM_HIPixelReconstruction_v,  ,  , 0, 0.0, 0, 0.0
DQM_HIEcalReconstruction_v5, DQM_HIEcalReconstruction_v,  ,  , 0, 0.0, 0, 0.0
DQM_HIHcalReconstruction_v3, DQM_HIHcalReconstruction_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIEphemeralPhysics_v1, HLT_HIEphemeralPhysics_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIEphemeralZeroBias_v1, HLT_HIEphemeralZeroBias_v,  ,  , 0, 0.0, 0, 0.0
HLT_EcalCalibration_v4, HLT_EcalCalibration_v,  ,  , 0, 0.0, 0, 0.0
HLT_HcalCalibration_v6, HLT_HcalCalibration_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIL1NotBptxOR_v7, HLT_HIL1NotBptxOR_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIL1UnpairedBunchBptxPlus_v7, HLT_HIL1UnpairedBunchBptxPlus_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIL1UnpairedBunchBptxMinus_v7, HLT_HIL1UnpairedBunchBptxMinus_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIRandom_v5, HLT_HIRandom_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIZeroBias_FirstCollisionAfterAbortGap_v7, HLT_HIZeroBias_FirstCollisionAfterAbortGap_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIMinimumBiasHF1ANDZDC2nOR_v1, HLT_HIMinimumBiasHF1ANDZDC2nOR_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIMinimumBiasHF1ANDZDC2nOR_Beamspot_v1, HLT_HIMinimumBiasHF1ANDZDC2nOR_Beamspot_v,  ,  , 0, 0.0, 0, 0.0
HLT_HICentrality30100_FirstCollisionAfterAbortGap_v7, HLT_HICentrality30100_FirstCollisionAfterAbortGap_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIL1Centrality30_50_v1, HLT_HIL1Centrality30_50_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIPuAK4CaloJet40Eta5p1_v7, HLT_HIPuAK4CaloJet40Eta5p1_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIPuAK4CaloJet80Eta5p1_v7, HLT_HIPuAK4CaloJet80Eta5p1_v,  ,  , 0, 0.0, 0, 0.0
